"VAR"	"LABEL"	"TYPE"	"INPUT"	"QUESTION"
"AB40"	"climate change tweet"	"NOMINAL"	"SELECTION"	"People who are shopping in a KMart and I’m one of them care about Climate Change and we don’t care about Barnaby Joyce"
"AB41"	"climate change tweet"	"NOMINAL"	"SELECTION"	"climate change is really happening guys, i think it would be much nice to take care of the environment."
"AB42"	"climate change tweet"	"NOMINAL"	"SELECTION"	"More then just the ""hard right"" think all this climate change nonsense is nothing more then nonsense."
"AB43"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Extremely rare... well, they WERE. Fuck climate change."
"AB44"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Mooniyaw spend so much time debating if climate change is real that when they figure it out, it will be too late."
"AB45"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Glaciers have always grown and receded. Haven't you seen the documentary 'Ice Age'? #ClimateChange #GlobalWarming"
"AB46"	"climate change tweet"	"NOMINAL"	"SELECTION"	"There is no such thing as global warming. Judson Almeida was cold, so he turned the sun up."
"AB47"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change is in standing up for the latest step forward in the Affordable Care Act."
"AB48"	"climate change tweet"	"NOMINAL"	"SELECTION"	"That change is called weather - not climate."
"AB49"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change is real."
"AB50"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I think global warming is best explained by my short-tempered great-aunt Doris's favorite song: 'A Change Is Gonna Come'."
"AB51"	"climate change tweet"	"NOMINAL"	"SELECTION"	"You cannot stop climate change! Compare the Viking age to Victorian England"
"AB52"	"climate change tweet"	"NOMINAL"	"SELECTION"	"it’s so hot climate change is really gonna kill us all"
"AB53"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Prediction: global warming gonna be"
"AB54"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change is nothing but decreased human immunity #EinsteinModi"
"AB55"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Even the earth has rights in #Islam, so treat it well and oppose global warming. #Mercy"
"AB56"	"climate change tweet"	"NOMINAL"	"SELECTION"	"No Barnaby. People who shop in KMart and I’m one of them, don’t care about you. We do care about Climate Change"
"AB57"	"climate change tweet"	"NOMINAL"	"SELECTION"	"i'm tired of all these climate change denier grandpas coming into my store and yelling about bread!"
"AB58"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Well, all the money in the world won't save the Reef unless we halt global warming, something even the Reef Foundation agrees on"
"AB59"	"climate change tweet"	"NOMINAL"	"SELECTION"	"the my violet red divorce global warming pink two-parent :) me"
"AB60"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Just remember, according to Trump and his admin, there is no climate change."
"AB61"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Omaha is just waiting for masses to start migrating because of climate change."
"AB62"	"climate change tweet"	"NOMINAL"	"SELECTION"	"And you believe in global warming and space aliens"
"AB63"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Right, Lindsay... just like Al Gore got called a ""leftist extremist"" for speaking about #ClimateChange?! #qanda #auspol"
"AB64"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Global Warming... Just another hot flash from Liberals"
"AB65"	"climate change tweet"	"NOMINAL"	"SELECTION"	"how could the world population become more aware and conscious of the effects of climate change in your opinion?"
"AB66"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change is a serious issue"
"AB67"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change thanks Trump 🤡"
"AB68"	"climate change tweet"	"NOMINAL"	"SELECTION"	"What, you mean our infrastructure isn't prepared for climate change's effects? Really?"
"AB69"	"climate change tweet"	"NOMINAL"	"SELECTION"	"See also: Climate change and, well, pretty much anything that is already solidly understood by experts in the field."
"AB70"	"climate change tweet"	"NOMINAL"	"SELECTION"	"well have you heard about this global warming shit"
"AB71"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Would Jesus support action on global warming? #QandA"
"AB72"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Back in the saddle after 2 months off. I see we haven't fixed climate change yet."
"AB73"	"climate change tweet"	"NOMINAL"	"SELECTION"	"83% of republicans also support not using toilet paper to counter #climatechange."
"AB74"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#climatechange is real!"
"AB75"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Haha thanks. I need more non-science followers to communicate our climate change research findings. #scicomm"
"AB76"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Does anyone know whether there are more floods in Myanmar due to climate change??"
"AB77"	"climate change tweet"	"NOMINAL"	"SELECTION"	"What’s your bible say bout climate change Lyle??"
"AB78"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Science really screwed itself by inventing the air conditioner because now I don't care about climate change"
"AB79"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Much of it eminates from climate change deniers such as Abetz."
"AB80"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Denying climate change is the Supreme Court. Editorial boards calling on Senate leaders have recognized Judge Garland's impeccable"
"AC01"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Jim Cantore is weirdly veering towards climate change denial, good times, good times."
"AC02"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Scientific reading should include the validated science of climate change. Try it."
"AC03"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Is climate change reversible?"
"AC04"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Sooo, are you suggesting Behrouz is responsible for climate change?"
"AC05"	"climate change tweet"	"NOMINAL"	"SELECTION"	"You could ask the proponents of climate change. They like to make up non-existent statistics."
"AC06"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Denying climate change is dangerous. Join the Supreme Court, and that's unacceptable."
"AC07"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Hahaha we care about the Earth and the climate change 😭 😭 😭 maxaan kalo dhahaa"
"AC08"	"climate change tweet"	"NOMINAL"	"SELECTION"	"#WaitituChallenge please move the sun to reduce the effects of global warming"
"AC09"	"climate change tweet"	"NOMINAL"	"SELECTION"	"in 1970 we were going to freeze then later we were going to flood the coasts then later burn up the planet then climate change BS"
"AC10"	"climate change tweet"	"NOMINAL"	"SELECTION"	"I was promised flying cars and teleportation in this century but all we have right now is global warming’s apocalyptic weather 😪 😪"
"AC11"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Al Gore is massively to blame! Climate change is a scam."
"AC12"	"climate change tweet"	"NOMINAL"	"SELECTION"	"With LSD plots in climate change papers would be a lot nicer 😉. A rainbow hockey stick?"
"AC13"	"climate change tweet"	"NOMINAL"	"SELECTION"	". , women & girls are vulnerable to climate change and they need your help to adapt. Will you announce support for women around"
"AC14"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Note how Abbott, Joyce etc never actually talk about climate change and its effects #auspol"
"AC15"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Thanks to climate change, I got a swimming pool for free. Used to be my backyard."
"AC16"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Gfriend stans are literally the reason why there is global warming 😔 breathe if you think they should mass extinct"
"AC17"	"climate change tweet"	"NOMINAL"	"SELECTION"	"barnaby mate don't around telling people we local kmart shoppers don't care about climate change. it's the slavery we don't care about ."
"AC18"	"climate change tweet"	"NOMINAL"	"SELECTION"	"What's worse? Climate change denial or the belief that it can be stopped?"
"AC19"	"climate change tweet"	"NOMINAL"	"SELECTION"	"confirmed climate change causing erosion of democratic ties to police unions..."
"AC20"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Just in time to be driven into extinction by climate change. *sigh*"
"AC21"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Ok so it was nothing to do with non existent climate change"
"AC22"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Their air conditioning will then be given to the poor souls in Britain who do believe in Climate Change."
"AC23"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change is a lie."
"AC24"	"climate change tweet"	"NOMINAL"	"SELECTION"	"A close second would be people who deny climate change exists..."
"AC25"	"climate change tweet"	"NOMINAL"	"SELECTION"	"According to Modiji, Like climate change.. rupee has not fallen, but USD has risen"
"AC26"	"climate change tweet"	"NOMINAL"	"SELECTION"	"realDonaldTrump: #climatechangeisreal #pride"
"AC27"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Ignoring climate change and environmental destruction."
"AC28"	"climate change tweet"	"NOMINAL"	"SELECTION"	"The County Government Should also Setaside Funds for Climate Change Mitigation..."
"AC29"	"climate change tweet"	"NOMINAL"	"SELECTION"	"my -__- purple heart thymes global warming navajowhite cruelty sandwiches back"
"AC30"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Well, at least we haven’t got climate change and this is just inclement weather 🙄"
"AC31"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Denier bullet point, no need to do a report on TV about the suns role in climate change, what would it be, calories?"
"AC32"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Is global warming drying out the mountains too?"
"AC33"	"climate change tweet"	"NOMINAL"	"SELECTION"	"CLIMATE CHANGE"
"AC34"	"climate change tweet"	"NOMINAL"	"SELECTION"	"WA has more water in its dams than it has for many years . Is that climate change!"
"AC35"	"climate change tweet"	"NOMINAL"	"SELECTION"	"That study suggests that climate change isn’t going to stop with “just” flooding cities around the globe and generating a billion refugees."
"AC36"	"climate change tweet"	"NOMINAL"	"SELECTION"	"So.. You two are climate change deniers too?"
"AC37"	"climate change tweet"	"NOMINAL"	"SELECTION"	"And??? Regulation of climate change should require new legislation."
"AC38"	"climate change tweet"	"NOMINAL"	"SELECTION"	"dont and lavender tansies global warming palevioletred FLABBERGASTED earth engineer"
"AC39"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Pakistan'spositive role in controlling issues like global warming, cilmate change and pollution etc. (7/7)"
"AC40"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Of all the possible climate change consequences out there, Autumn in August is one I can't say I hate."
"AC41"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change is clearly breaking cardinal rules."
"AC42"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Hail stones of 100 pounds could be something we experience with climate change, according to the Bible."
"AC43"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Climate change is also a national security threat..."
"AC44"	"climate change tweet"	"NOMINAL"	"SELECTION"	"Too expensive, Kevin. Saving the world from global warming is a financial scam and you cannot prove otherwise."
"AC45"	"climate change tweet"	"NOMINAL"	"SELECTION"	"The seasons are getting less distinct here, thanks to global warming."
